English Sentence,Hausa,Sexism
I get a new pussy every other week or whenever i want really. Didnt have to learn how to either from YouTube videos. Also PUAs dont get laid. At best they get 5/10 asian ladies after spending years pretending to be something they aren't. Its pathetic,"Ina samun sabuwar mace kusan duk mako ko duk lokacin da na ke so. Ban ma bukaci koyo daga bidiyon YouTube ba. Haka kuma, waɗanda ke ikirarin sanin yadda ake jan hankalin mata (PUAs), ba su kan samu nasara. Mafi yawan abin da za su iya samu shi ne mata ‘yan asalin Asiya masu matsakaicin kyau (5/10) bayan shekaru suna kwaikwayon abin da ba su ke ba. Abin kunya ne",Yes
,An hana sana’ar Adai daita sahu a Kano daga Goma na dare zuwa shida na safe …,No
O come on there's no way any men are attracted to her shes a pig🙄,"Haba mana, ba yadda za a ce wani namiji yana jin sha’awanta , haba kamar alade take fa. 🙄",Yes
,"TAMBAYA !!! TAMBAYA !!! TAMBAYA !!!
WAI MEYASA WASU YAN SIYASA SUKE DAUKAN JAMA'A DA DELIGATE BASUSAN ME SUKEYIBANE WAI SAI SIYASA TAZA LOKACINNE AKESANIN AMFANIN MUTANE AMMAN IDAN LOKACIN YAWUCE TO KUNZAMA YAN ISKA DA SUNA INA DELIGATE YAKAMATA KUYI AIKIN ALLAH TUNDA BAKUSAN RANAN MUTUWARKUBA ALLAH YASA KUGANE",No
"Former BBC journalist Thuto Mali says that universal credit is now a woman’s rights issue as it’s affecting her finances. If she wants to open her legs and sprew a sprog that’s her problem , my problem is I’m not willing to finance the sprog","Tsohuwar ‘yar jaridar BBC, Thuto Mali, ta ce tsarin tallafin Universal Credit yanzu ya zama batun ‘yancin mata domin yana shafar harkokin kuɗinta. Idan tana son buɗe ƙafafunta ta cigaba da haifan yara, wannan matsalarta ce; matsalata ita ce, ba zan ɗauki nauyin rikon wannan yaron ba.",Yes
"Please.... take my wife, rape my daughter!! But whatever you do, leave the j00s alone!!! - cuckolded """"conservatives""""","Dan Allah.. ɗau matata, yi fyaɗe wa 'yata!! amma kome zaka yi kar ka taɓa J00s..... - matan da bata da amana",Yes
Pink is very feminine so I accept this bikini babe :) You've paid your dues :),"Ruwan hoda (pink) yana da matuƙar alaƙa da matantaka, don haka na amince da wannan budurwar da ke sanye da bikini. Kin biya bashinki.",No
"Yes. Especially these days, it takes a lot to make a man beat a woman. Dont buy into her bullshit. She probably deserve. At least hear the version of the guy. I would make an exception if it was a severe beating.","Eh. A zamanin yau, abu ne mai nauyi zai sa namiji ya ɗauki matakin dukan mace. Kada ka yarda da abin da take faɗa kawai. Watakila ita ce ta haddasa matsalar. A ƙalla, a saurari ɓangaren maganar namijin. Zan iya fahimta ne kawai idan cin zarafin ya wuce ƙima matuƙa.",Yes
,Tunda team ustazai ta dawo kuzo mu tattauna matsalar Besty da kuma amfaninsa 😂😂😂,No
I asked his dumbass why he fell for her. She has that gross cow-ring on her nose. Ugly af and he gets sexy bitches.,"Na tambaye shi dalilin da ya sa ya kamu da son wannan yarinyar. Tana da abin sarƙa a  hanci mai kama da na saniya da ba ya da kyau kwata-kwata. Ba ta da kyau, kuma shi yana iya samun kyawawan karuwai.",Yes
,"Baba Buhari ne ya yanka PDP a 2015,kuma ya binneta a 2015,
Don haka PDP ta zama tarihi a Nigeria insha Allahu.",No
"hotter girls have higher bitch shields and shit test more, its called the hot-shit paradox lol","Mata (Karuwai) da suka fi jan hankali suna da wani garkuwa wanda yake da daɗi, kuma ana ƙiran abin hot-shit paradox",Yes
[USER] Is that Hitlery? looks like her hips and ass,(User) shin wancan hitlery ce? kaman leɓɓan ta da mazaunan ta,Yes
